Membership No  Date Joined  Active  
    36187      2015-5-1     no    
    28207      2020-1-17    no    
    36957      2015-2-16    no    
    38670      2016-2-2     no    
    68771      2020-10-7    no    
    53480      2018-7-9     no    
    86324      2020-10-12   no    
    42311      2015-1-8     no    
    95880      2020-10-12   no    
    63161      2018-11-4    no    
    30925      2017-10-17   no    
    32915      2020-5-15    no    
    94943      2019-12-16   no    
    37359      2017-3-7     no    
    54228      2020-2-1     no    
    58164      2015-3-24    no    
